TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,108.4,110.6,-2.2,0.558,5.0,23.6,16.0,0.463,0.362,14.7,0.467,0.469,0,2007
1610612738,Boston Celtics,107.9,97.4,10.4,0.567,7.9,24.2,16.4,0.419,0.316,17.3,0.649,0.781,0,2007
1610612766,Charlotte Bobcats,104.6,107.5,-2.9,0.543,6.9,22.8,15.7,0.466,0.355,15.3,0.474,0.448,0,2007
1610612741,Chicago Bulls,104.8,107.9,-3.1,0.539,6.1,23.4,15.4,0.453,0.375,16.2,0.395,0.4,1,2007
1610612739,Cleveland Cavaliers,104.2,102.6,1.6,0.518,7.3,21.8,15.2,0.455,0.357,14.5,0.636,0.533,1,2007
1610612742,Dallas Mavericks,108.9,102.8,6.0,0.558,6.6,22.9,13.8,0.443,0.349,13.3,0.535,0.552,1,2007
1610612743,Denver Nuggets,112.8,107.2,5.6,0.584,6.8,24.3,14.4,0.457,0.363,16.1,0.568,0.6,1,2007
1610612765,Detroit Pistons,108.0,100.6,7.4,0.535,6.7,25.2,13.1,0.437,0.332,15.2,0.553,0.667,1,2007
1610612744,Golden State Warriors,110.1,108.2,1.9,0.545,9.2,22.2,13.1,0.468,0.368,16.8,0.591,0.533,1,2007
1610612745,Houston Rockets,106.5,98.2,8.4,0.532,7.7,23.3,15.0,0.433,0.365,14.5,0.571,0.767,1,2007
1610612754,Indiana Pacers,107.2,105.9,1.3,0.554,9.3,23.0,15.2,0.454,0.386,16.0,0.4,0.517,0,2007
1610612746,Los Angeles Clippers,99.0,111.1,-12.0,0.516,4.5,22.5,15.3,0.467,0.349,14.4,0.4,0.188,0,2007
1610612747,Los Angeles Lakers,113.2,104.0,9.2,0.573,8.3,25.1,14.5,0.445,0.362,14.6,0.6,0.733,1,2007
1610612763,Memphis Grizzlies,101.9,111.3,-9.4,0.525,7.8,19.8,15.7,0.48,0.364,13.8,0.361,0.267,0,2007
1610612748,Miami Heat,97.5,109.0,-11.5,0.517,6.5,21.8,15.9,0.468,0.369,15.5,0.227,0.2,1,2007
1610612749,Milwaukee Bucks,104.5,113.1,-8.5,0.523,5.9,23.0,15.8,0.48,0.384,14.7,0.451,0.241,0,2007
1610612750,Minnesota Timberwolves,105.7,111.7,-6.1,0.541,5.8,21.4,15.6,0.472,0.357,14.5,0.25,0.387,0,2007
1610612751,New Jersey Nets,104.6,109.3,-4.7,0.544,6.5,25.1,16.0,0.456,0.369,14.3,0.548,0.379,1,2007
1610612740,New Orleans Hornets,110.9,105.1,5.7,0.555,8.4,23.7,13.0,0.46,0.351,15.1,0.677,0.645,0,2007
1610612752,New York Knicks,103.3,111.9,-8.7,0.515,6.4,19.9,15.5,0.474,0.369,13.6,0.429,0.267,0,2007
1610612753,Orlando Magic,111.0,100.4,10.6,0.586,10.3,22.0,15.1,0.446,0.358,13.9,0.556,0.679,1,2007
1610612755,Philadelphia 76ers,107.1,105.3,1.8,0.532,4.0,22.2,15.6,0.461,0.36,17.1,0.548,0.586,0,2007
1610612756,Phoenix Suns,112.3,107.3,5.0,0.6,8.6,27.2,14.7,0.456,0.353,13.7,0.581,0.621,1,2007
1610612757,Portland Trail Blazers,104.5,107.6,-3.1,0.523,7.3,23.5,14.3,0.451,0.356,13.9,0.605,0.433,0,2007
1610612758,Sacramento Kings,107.2,109.7,-2.5,0.568,6.4,19.8,16.6,0.466,0.373,15.8,0.545,0.484,0,2007
1610612759,San Antonio Spurs,102.8,98.1,4.8,0.536,8.1,23.3,14.0,0.444,0.342,14.3,0.641,0.71,1,2007
1610612760,Seattle SuperSonics,98.1,110.2,-12.1,0.512,3.9,21.8,16.3,0.461,0.385,13.5,0.351,0.226,0,2007
1610612761,Toronto Raptors,108.2,106.6,1.6,0.552,7.6,25.9,12.7,0.458,0.368,15.2,0.389,0.419,1,2007
1610612762,Utah Jazz,115.2,106.1,9.1,0.589,5.2,27.9,15.4,0.461,0.357,16.8,0.529,0.69,1,2007
1610612764,Washington Wizards,108.1,109.1,-1.0,0.54,7.6,21.3,14.4,0.461,0.386,15.3,0.475,0.6,1,2007
